0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027,0.027,0.027,0.133,0.0,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.0,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.0,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.015,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.015,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.133,0.004,0.133,0.133,0.027,0.133,0.027,0.027,0.133,0.027,0.133,0.133,0.027,0.133,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.133,0.027,0.027,0.027,0.027,0.133,0.028,0.027,0.004,0.133,0.133,0.133,0.027,0.027,0.133,0.027,0.133,0.185,0.133,0.004,0.133,0.133,0.077,0.133,0.06,0.027,0.133,0.027,0.133,0.133,0.027,0.211,0.027,0.027
0.027,0.027,0.027,0.133,0.078,0.133,0.027,0.027,0.282,0.027,0.027,0.027,0.033,0.07,0.027,0.027,0.133,0.027,0.027,0.027,0.257,0.217,0.605,0.027,0.004,0.133,0.133,0.134,0.027,0.122,0.353,0.027,0.259,0.756,0.133,0.155,0.285,0.133,0.647,0.133,0.224,0.171,0.184,0.565,0.234,0.15,0.027,0.623,0.027,0.115
0.027,0.027,0.027,0.133,0.078,0.166,0.027,0.027,0.726,0.027,0.027,0.329,0.06,0.539,0.027,0.052,0.374,0.406,0.059,0.027,0.354,0.679,1.018,0.392,0.004,0.482,0.524,0.167,0.027,0.58,0.444,0.027,0.707,0.616,0.575,0.589,0.723,0.133,1.099,0.166,0.725,0.451,0.649,0.474,0.265,0.385,0.06,0.97,0.059,0.147
0.027,0.027,0.027,0.165,0.11,0.198,0.058,0.058,1.061,0.252,0.027,0.313,0.609,0.825,0.114,0.058,0.511,0.398,0.395,0.209,0.877,0.983,0.881,0.384,0.191,0.683,0.744,0.703,0.165,0.89,0.971,0.058,1.028,0.885,0.823,0.911,1.048,0.383,0.934,0.568,1.167,0.839,0.93,0.682,0.811,0.771,0.092,1.418,0.474,0.693
0.027,0.027,0.113,0.193,0.536,0.621,0.228,0.06,0.88,0.237,0.057,0.3,0.87,0.676,0.111,0.53,0.448,0.369,0.312,0.198,1.258,0.928,1.24,0.358,0.257,0.581,0.631,0.957,0.158,0.83,1.339,0.128,1.344,1.137,0.696,1.227,0.979,0.367,1.301,0.557,1.579,1.153,0.785,1.046,1.108,1.036,0.598,1.893,0.685,0.992
0.027,0.027,0.113,0.553,0.709,0.61,0.217,0.117,1.138,0.237,0.085,0.3,0.839,0.821,0.111,0.711,0.448,0.408,0.312,0.198,1.603,0.937,1.598,0.375,0.23,0.581,0.631,0.93,0.158,0.859,1.675,0.148,1.177,1.763,0.752,1.06,1.029,0.367,1.559,0.534,2.013,1.447,0.915,1.429,1.056,1.003,0.822,2.586,0.576,0.939
0.06,0.027,0.113,0.679,0.626,0.582,0.217,0.105,1.157,0.237,0.085,0.667,0.811,0.802,0.111,0.869,0.465,0.567,0.383,0.198,1.415,1.17,2.096,0.757,0.23,0.7,0.783,0.902,0.158,1.099,1.494,0.141,1.363,2.478,0.727,1.243,1.272,0.367,2.398,0.539,2.116,1.295,1.311,1.769,1.03,0.974,1.026,2.754,0.576,0.916
0.06,0.062,0.113,0.625,0.626,0.588,0.217,0.105,1.682,0.237,0.099,0.785,0.918,1.323,0.111,0.797,0.797,0.897,0.342,0.198,1.688,1.14,2.711,0.886,0.23,0.644,0.726,0.994,0.158,1.47,1.706,0.141,1.736,3.145,1.224,1.461,1.251,0.367,3.155,0.908,2.69,1.403,1.534,1.813,1.228,1.097,0.923,3.475,0.678,1.121
0.06,0.062,0.113,0.625,0.653,0.729,0.217,0.105,1.993,0.265,0.099,0.88,0.861,1.531,0.141,0.797,0.866,1.011,0.735,0.398,2.022,1.659,3.004,0.992,0.26,1.074,1.169,1.356,0.188,1.695,2.055,0.141,1.966,3.799,1.386,1.827,1.773,0.397,3.755,1.02,3.373,1.595,1.733,1.952,1.413,1.039,0.923,3.919,0.625,1.07
0.06,0.062,0.214,0.625,0.975,1.042,0.397,0.135,2.188,0.536,0.099,0.842,1.331,1.707,0.155,0.797,0.84,1.104,0.806,0.404,2.642,1.86,3.244,0.949,0.29,1.164,1.269,1.497,0.162,1.968,2.681,0.249,2.19,3.876,1.52,2.107,2.05,0.617,4.33,1.002,4.024,2.015,1.634,2.525,1.829,1.517,0.982,4.901,1.035,1.587
0.06,0.062,0.214,0.889,1.039,1.127,0.397,0.147,2.107,0.542,0.099,0.842,1.454,1.623,0.155,0.901,0.84,1.067,0.86,0.404,3.028,2.035,3.559,0.949,0.298,1.235,1.349,1.614,0.292,1.855,3.086,0.249,2.08,4.247,1.462,2.318,2.218,0.629,4.386,1.002,4.451,2.265,1.634,2.744,2.067,1.647,1.304,5.467,1.112,1.836
0.06,0.062,0.214,0.88,1.088,1.195,0.397,0.158,2.241,0.542,0.099,0.842,1.565,1.623,0.155,0.857,0.84,1.067,0.84,0.404,3.354,1.962,3.705,0.949,0.293,1.207,1.317,1.565,0.292,1.855,3.384,0.249,2.245,4.667,1.462,2.402,2.344,0.628,4.562,1.002,4.878,2.385,1.687,3.442,2.173,1.763,1.38,5.913,1.172,1.946
0.06,0.062,0.214,0.88,1.069,1.169,0.397,0.158,2.482,0.542,0.128,0.872,1.521,1.641,0.155,1.188,0.869,1.067,0.84,0.404,3.666,1.962,4.419,0.979,0.294,1.207,1.317,1.565,0.292,1.914,3.455,0.249,2.497,5.151,1.462,2.54,2.523,0.628,4.912,1.002,5.209,2.413,1.681,3.784,2.12,1.718,1.44,6.059,1.149,1.885
0.06,0.062,0.214,0.88,1.069,1.169,0.397,0.158,2.554,0.542,0.141,1.044,1.521,1.67,0.155,1.212,0.899,1.278,0.84,0.404,3.768,1.963,4.745,1.009,0.294,1.207,1.317,1.565,0.292,1.913,3.48,0.249,2.91,5.699,1.507,2.651,2.614,0.628,5.058,1.032,5.146,2.56,2.13,4.085,2.12,1.718,1.417,6.109,1.149,1.885
0.117,0.062,0.214,0.88,1.069,1.169,0.397,0.158,3.039,0.542,0.152,1.05,1.521,1.715,0.155,1.224,0.899,1.274,0.84,0.404,3.928,2.01,5.016,1.115,0.294,1.207,1.317,1.606,0.292,2.364,3.562,0.249,2.873,5.979,1.842,3.063,3.023,0.628,5.689,1.062,5.387,2.767,2.166,4.183,2.12,1.718,1.417,6.373,1.149,1.887
0.117,0.062,0.214,0.88,1.069,1.169,0.397,0.158,3.227,0.542,0.152,1.05,1.533,1.981,0.155,1.221,0.899,1.356,0.87,0.434,3.996,2.395,5.108,1.117,0.294,1.237,1.632,2.016,0.292,2.418,3.599,0.249,3.238,6.236,1.947,3.206,3.166,0.628,5.945,1.159,5.598,2.839,2.225,4.285,2.182,1.74,1.417,6.581,1.149,2.052
0.117,0.074,0.236,0.88,1.069,1.203,0.427,0.158,3.411,0.67,0.152,1.05,1.946,2.034,0.247,1.221,0.899,1.306,0.843,0.445,4.307,2.415,5.205,1.117,0.294,1.277,1.709,2.113,0.292,2.546,4.037,0.344,3.365,6.329,1.94,3.334,3.194,0.772,6.168,1.164,5.786,3.035,2.216,4.373,2.597,2.089,1.417,6.622,1.448,2.127
0.117,0.087,0.236,0.91,1.099,1.21,0.401,0.247,3.523,0.67,0.152,1.05,1.897,2.145,0.247,1.221,0.899,1.306,1.017,0.445,4.372,2.535,5.2,1.117,0.41,1.375,1.777,2.199,0.391,2.501,3.983,0.344,3.305,6.326,1.93,3.29,3.209,0.772,6.243,1.162,6.163,3.531,2.216,4.366,2.58,2.04,1.773,7.124,1.406,2.592
0.117,0.087,0.236,0.935,1.347,1.451,0.42,0.247,3.514,0.67,0.152,1.05,2.011,2.09,0.247,1.221,0.899,1.306,1.017,0.445,4.777,2.63,5.201,1.117,0.41,1.375,1.737,2.275,0.391,2.499,4.165,0.344,3.314,6.36,1.93,3.343,3.257,0.772,6.236,1.162,6.299,3.714,2.216,4.457,2.607,2.16,1.84,7.336,1.408,2.652
0.117,0.087,0.236,0.935,1.312,1.49,0.42,0.247,3.713,0.67,0.152,1.05,1.969,2.091,0.247,1.266,0.899,1.306,1.017,0.445,4.785,2.578,5.26,1.117,0.41,1.429,1.737,2.229,0.391,2.499,4.118,0.344,3.309,6.435,1.93,3.373,3.286,0.772,6.254,1.162,6.322,3.736,2.216,4.483,2.626,2.117,1.899,7.635,1.444,2.736
0.117,0.087,0.236,0.935,1.312,1.537,0.42,0.247,3.748,0.67,0.152,1.05,1.969,2.091,0.247,1.405,0.899,1.36,1.017,0.445,4.893,2.578,5.63,1.117,0.41,1.392,1.737,2.229,0.391,2.499,4.12,0.344,3.354,6.535,1.93,3.385,3.435,0.772,6.31,1.162,6.444,3.751,2.216,4.85,2.621,2.117,1.86,7.734,1.437,2.811
0.117,0.087,0.236,0.935,1.312,1.496,0.42,0.247,3.749,0.67,0.177,1.096,1.969,2.091,0.247,1.371,0.899,1.381,1.017,0.445,4.878,2.578,5.724,1.117,0.41,1.392,1.737,2.229,0.391,2.499,4.136,0.344,3.594,6.883,1.93,3.667,3.471,0.772,6.306,1.162,6.42,3.749,2.53,4.9,2.621,2.117,1.86,7.675,1.437,2.765
0.117,0.087,0.236,0.935,1.312,1.496,0.42,0.247,3.749,0.67,0.177,1.059,1.969,2.091,0.247,1.408,0.944,1.381,1.017,0.445,4.871,2.578,5.709,1.171,0.41,1.392,1.737,2.229,0.391,2.546,4.126,0.344,3.555,6.834,1.976,3.73,3.517,0.772,6.71,1.389,6.42,3.752,2.491,4.981,2.621,2.117,1.86,7.678,1.437,2.765
0.117,0.087,0.236,0.935,1.312,1.496,0.42,0.247,3.802,0.67,0.177,1.059,1.969,2.121,0.247,1.379,0.959,1.381,1.017,0.445,4.871,2.578,5.722,1.131,0.41,1.392,1.737,2.229,0.391,2.749,4.126,0.363,3.625,6.878,2.02,3.691,3.562,0.772,6.791,1.356,6.426,3.754,2.491,4.952,2.621,2.117,1.86,7.677,1.437,2.765
0.125,0.087,0.236,0.935,1.312,1.496,0.42,0.247,4.066,0.67,0.177,1.206,1.969,2.157,0.247,1.379,0.988,1.381,1.017,0.445,4.871,2.594,5.72,1.171,0.41,1.392,1.737,2.282,0.391,2.71,4.126,0.363,3.579,6.961,2.067,3.691,3.569,0.799,6.765,1.356,6.42,3.753,2.517,4.953,2.621,2.117,1.86,7.677,1.437,2.765
0.131,0.087,0.236,0.935,1.312,1.496,0.42,0.247,4.111,0.67,0.177,1.224,2.024,2.368,0.341,1.379,0.968,1.381,1.017,0.445,4.871,2.626,5.72,1.219,0.41,1.438,1.778,2.317,0.391,2.757,4.481,0.363,3.579,6.92,2.067,3.691,3.618,0.843,6.768,1.356,6.421,3.753,2.492,4.953,2.662,2.347,1.86,7.677,1.492,2.765
0.131,0.087,0.317,0.935,1.312,1.668,0.42,0.342,4.076,0.785,0.177,1.206,2.056,2.426,0.341,1.379,0.968,1.381,1.164,0.472,4.871,2.866,5.72,1.219,0.41,1.53,1.908,2.376,0.391,2.723,4.442,0.363,3.579,6.92,2.067,3.691,3.584,0.843,6.768,1.356,6.466,3.991,2.492,4.954,2.831,2.317,1.906,8.063,1.505,2.994
0.131,0.087,0.317,0.935,1.312,1.645,0.42,0.342,4.116,0.785,0.177,1.223,2.056,2.412,0.341,1.379,0.968,1.381,1.183,0.518,5.127,2.835,5.72,1.219,0.515,1.508,1.908,2.405,0.413,2.723,4.486,0.363,3.579,6.92,2.067,3.691,3.584,0.843,6.768,1.356,6.702,4.027,2.492,4.966,2.801,2.347,1.921,8.022,1.512,3.028
0.131,0.093,0.317,0.988,1.473,1.645,0.517,0.342,4.111,0.785,0.177,1.221,2.056,2.442,0.341,1.379,0.968,1.381,1.165,0.518,5.093,2.867,5.72,1.219,0.515,1.508,1.908,2.38,0.45,2.723,4.453,0.363,3.579,6.92,2.067,3.691,3.584,0.843,6.768,1.356,6.666,3.998,2.492,4.955,2.801,2.321,1.931,8.022,1.512,2.999
0.131,0.093,0.317,0.996,1.463,1.658,0.517,0.342,4.111,0.785,0.177,1.221,2.056,2.416,0.341,1.379,0.968,1.381,1.177,0.518,5.129,2.84,5.931,1.219,0.515,1.508,1.908,2.38,0.45,2.723,4.453,0.363,3.579,6.92,2.067,3.691,3.584,0.843,6.768,1.356,6.666,4.026,2.492,5.046,2.815,2.321,1.931,8.022,1.512,2.999
0.131,0.093,0.317,0.996,1.463,1.675,0.517,0.342,4.111,0.785,0.177,1.221,2.056,2.416,0.341,1.514,0.968,1.381,1.165,0.518,5.16,2.84,5.966,1.219,0.515,1.508,1.908,2.38,0.45,2.723,4.453,0.363,3.579,6.92,2.067,3.691,3.584,0.843,6.768,1.356,6.702,4.001,2.492,5.256,2.812,2.321,1.931,8.022,1.512,2.999
0.131,0.093,0.317,0.996,1.463,1.674,0.517,0.342,4.111,0.785,0.177,1.221,2.056,2.416,0.341,1.508,0.968,1.527,1.165,0.518,5.132,2.84,5.998,1.219,0.515,1.508,1.908,2.38,0.45,2.723,4.453,0.363,3.792,6.92,2.067,3.906,3.584,0.843,6.768,1.356,6.734,4.001,2.728,5.286,2.812,2.321,1.931,8.022,1.512,2.999
0.131,0.093,0.317,0.996,1.463,1.674,0.517,0.342,4.111,0.785,0.177,1.221,2.056,2.416,0.341,1.508,0.968,1.515,1.165,0.518,5.132,2.84,5.969,1.219,0.515,1.508,1.908,2.38,0.45,2.723,4.453,0.363,3.769,6.965,2.067,3.884,3.584,0.843,6.768,1.491,6.731,4.001,2.747,5.334,2.812,2.321,1.931,8.022,1.512,2.999
0.131,0.093,0.317,0.996,1.463,1.674,0.517,0.342,4.111,0.785,0.195,1.221,2.056,2.416,0.341,1.508,0.968,1.515,1.165,0.518,5.132,2.84,5.969,1.219,0.515,1.508,1.908,2.38,0.45,2.776,4.453,0.363,3.778,7.009,2.067,3.884,3.584,0.843,6.768,1.502,6.731,4.001,2.764,5.29,2.812,2.321,1.931,8.022,1.512,2.999
